week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,runtime,weekly_views,cumulative_weeks_in_top_10,is_staggered_launch,episode_launch_details
9/15/24,Films (English),1,Rebel Ridge,N/A,84900000,2.2,38600000,2,FALSE,
9/15/24,Films (English),2,Uglies,N/A,35400000,1.7,20800000,1,FALSE,
9/15/24,Films (English),3,Into the Fire: The Lost Daughter,Into the Fire: The Lost Daughter: Season 1,20500000,2.5333,8100000,1,FALSE,
9/15/24,Films (English),4,The Deliverance,N/A,13100000,1.8833,7000000,3,FALSE,
9/15/24,Films (English),5,Fast & Furious Presents: Hobbs & Shaw,N/A,13100000,2.2667,5800000,3,FALSE,
9/15/24,Films (English),6,The Day After Tomorrow,N/A,11600000,2.0667,5600000,1,FALSE,
9/15/24,Films (English),7,Edge of Tomorrow,N/A,7700000,1.8833,4100000,1,FALSE,
9/15/24,Films (English),8,The Union,N/A,7000000,1.8167,3900000,5,FALSE,
9/15/24,Films (English),9,The Shack,N/A,7800000,2.2167,3500000,2,FALSE,
9/15/24,Films (English),10,Gemini Man,N/A,6800000,1.95,3500000,7,FALSE,
9/15/24,Films (Non-English),1,Officer Black Belt,N/A,15100000,1.8167,8300000,1,FALSE,
9/15/24,Films (Non-English),2,Outlaw,N/A,11600000,1.4,8300000,1,FALSE,
9/15/24,Films (Non-English),3,Sector 36,N/A,7400000,2.0667,3600000,1,FALSE,
9/15/24,Films (Non-English),4,How To Make Millions Before Grandma Dies,N/A,6300000,2.1167,3000000,1,FALSE,
9/15/24,Films (Non-English),5,Boxer,N/A,5900000,2.5333,2300000,1,FALSE,
9/15/24,Films (Non-English),6,"Disco, Ibiza, Locomía",N/A,2900000,1.7333,1700000,2,FALSE,
9/15/24,Films (Non-English),7,Doce Família,N/A,2500000,1.5,1700000,2,FALSE,
9/15/24,Films (Non-English),8,(Un)lucky Sisters,N/A,2000000,1.3833,1400000,3,FALSE,
9/15/24,Films (Non-English),9,Technoboys,N/A,2200000,1.8333,1200000,1,FALSE,
9/15/24,Films (Non-English),10,Mr. Bachchan,N/A,2600000,2.5,1000000,1,FALSE,
9/15/24,TV (English),1,The Perfect Couple,The Perfect Couple: Limited Series,111600000,5.1,21900000,2,FALSE,
9/15/24,TV (English),2,Emily in Paris,Emily in Paris: Season 4,68700000,5.95,11500000,5,FALSE,
9/15/24,TV (English),3,Prison Break,Prison Break: Season 1,74600000,16.0167,4700000,2,FALSE,
9/15/24,TV (English),4,Selling Sunset,Selling Sunset: Season 8,28300000,6.4167,4400000,2,FALSE,
9/15/24,TV (English),5,KAOS,N/A,22400000,6.6667,3400000,3,FALSE,
9/15/24,TV (English),6,Worst Ex Ever,Worst Ex Ever: Season 1,10800000,3.8333,2800000,3,FALSE,
9/15/24,TV (English),7,Prison Break,Prison Break: Season 2,44300000,16.0333,2800000,1,FALSE,
9/15/24,TV (English),8,Outlast,Outlast: Season 2,14800000,6.6,2200000,2,FALSE,
9/15/24,TV (English),9,Hot Wheels Let's Race,Hot Wheels Let's Race: Season 2,4300000,1.9833,2200000,1,FALSE,
9/15/24,TV (English),10,Prison Break,Prison Break: Season 3,15900000,9.3833,1700000,1,FALSE,
9/15/24,TV (Non-English),1,The Accident,The Accident: Season 1,25700000,7.3667,3500000,4,FALSE,
9/15/24,TV (Non-English),2,Love Next Door,Love Next Door: Limited Series,35600000,0,3300000,5,TRUE,"[{""episodesLaunched"":10,""countryList"":[""FI"",""SH"",""ZM"",""BA"",""BE"",""CZ"",""MT"",""GU"",""MY"",""SO"",""TZ"",""GR"",""AG"",""ET"",""BQ"",""PS"",""MC"",""VA"",""SL"",""UM"",""AZ"",""SK"",""VN"",""CY"",""CK"",""MA"",""AU"",""IQ"",""LK"",""NE"",""JO"",""VI"",""GL"",""CX"",""KR"",""CI"",""IE"",""DM"",""TN"",""MV"",""IS"",""RS"",""AM"",""NF"",""KI"",""SS"",""DJ"",""GB"",""MG"",""DE"",""CA"",""HU"",""ST"",""AQ"",""TK"",""AS"",""GH"",""VC"",""KZ"",""TT"",""FK"",""SD"",""BN"",""TW"",""TJ"",""LC"",""KW"",""BB"",""BL"",""GA"",""ML"",""ZW"",""AO"",""BM"",""PW"",""WF"",""BT"",""NR"",""FR"",""GS"",""LU"",""AE"",""HR"",""UG"",""AI"",""RO"",""FJ"",""MN"",""MZ"",""MW"",""TM"",""TV"",""RU"",""CC"",""BD"",""PM"",""WS"",""TG"",""ID"",""KG"",""SE"",""RW"",""SX"",""AD"",""YT"",""EE"",""AL"",""PF"",""IM"",""GN"",""NL"",""PL"",""NC"",""VG"",""MO"",""GG"",""MF"",""GP"",""TR"",""TL"",""BI"",""TC"",""GE"",""PT"",""US"",""NG"",""LB"",""GF"",""IT"",""SM"",""LV"",""CF"",""DZ"",""AT"",""MK"",""VU"",""NU"",""SR"",""BS"",""BH"",""SI"",""GD"",""EG"",""MM"",""AW"",""MQ"",""NA"",""MS"",""MH"",""EH"",""MP"",""LI"",""MU"",""UZ"",""DK"",""HM"",""BF"",""SB"",""RE"",""OM"",""HT"",""SN"",""HK"",""IR"",""QA"",""TH"",""JP"",""KM"",""GW"",""NP"",""GM"",""JE"",""BW"",""CD"",""MR"",""LS"",""CH"",""PG"",""JM"",""FM"",""PH"",""BY"",""NZ"",""CG"",""ER"",""PK"",""LT"",""KH"",""GI"",""GY"",""BJ"",""ZA"",""CM"",""KN"",""BG"",""PN"",""CV"",""YE"",""SG"",""LA"",""ME"",""MD"",""IN"",""CW"",""UA"",""SA"",""AF"",""SZ"",""IL"",""TO"",""LR"",""IO"",""KY"",""KE"",""FO"",""NO"",""SC"",""TD"",""LY"",""ES""]},{""episodesLaunched"":6,""countryList"":[""EC"",""PR"",""SV"",""CO"",""NI"",""PY"",""BO"",""CR"",""CU"",""HN"",""DO"",""GT"",""CL"",""MX"",""UY"",""VE"",""PA"",""AR"",""PE"",""GQ"",""BR"",""BZ""]}]"
9/15/24,TV (Non-English),3,Breathless,Breathless: Season 1,19500000,6.3833,3100000,3,FALSE,
9/15/24,TV (Non-English),4,Ángel Di María: Breaking Down the Wall,Ángel Di María: Breaking Down the Wall: Season 1,4600000,2.7833,1700000,1,FALSE,
9/15/24,TV (Non-English),5,Caught in the Web: The Murders Behind Zona Divas,Caught in the Web: The Murders Behind Zona Divas: Limited Series,4200000,2.8,1500000,2,FALSE,
9/15/24,TV (Non-English),6,IC 814: The Kandahar Hijack,IC 814: The Kandahar Hijack: Limited Series,5300000,4.4333,1200000,3,FALSE,
9/15/24,TV (Non-English),7,Romance in the House,Romance in the House: Limited Series,14500000,0,1100000,6,TRUE,"[{""episodesLaunched"":11,""countryList"":[""MM"",""PF"",""TV"",""JP"",""CC"",""PN"",""HK"",""NZ"",""NF"",""FJ"",""KR"",""AU"",""KH"",""BT"",""NR"",""TH"",""CX"",""TO"",""KI"",""PH"",""NC"",""WF"",""UM"",""VN"",""MY"",""SG"",""LA"",""NU"",""CK"",""WS"",""PG"",""BN"",""TK"",""TW"",""ID"",""TL"",""BD"",""IN"",""LK"",""VU"",""SB"",""NP"",""MO"",""MV"",""MN""]},{""episodesLaunched"":12,""countryList"":[""TM"",""NA"",""PA"",""CW"",""KM"",""JM"",""VA"",""ZW"",""UA"",""SN"",""OM"",""GE"",""PT"",""HM"",""BZ"",""RU"",""MZ"",""EC"",""SL"",""LB"",""GN"",""GQ"",""MK"",""MG"",""SD"",""QA"",""SC"",""BR"",""US"",""SZ"",""YE"",""UZ"",""MW"",""CA"",""SV"",""BG"",""SM"",""TD"",""ES"",""IR"",""JE"",""IL"",""EE"",""GY"",""ZA"",""BL"",""EH"",""SI"",""AG"",""PY"",""MS"",""AF"",""IT"",""TJ"",""IQ"",""BA"",""ER"",""MH"",""MX"",""AL"",""FK"",""AO"",""UG"",""LT"",""KN"",""MD"",""GW"",""PK"",""BH"",""CH"",""DZ"",""HT"",""AM"",""HR"",""NI"",""UY"",""GM"",""CM"",""BJ"",""LV"",""ET"",""CU"",""TN"",""BB"",""FO"",""FR"",""VE"",""IE"",""DK"",""AR"",""MU"",""IS"",""NL"",""NG"",""SK"",""MC"",""NE"",""SH"",""IO"",""PL"",""CO"",""KY"",""PE"",""RE"",""AZ"",""BM"",""GR"",""CL"",""IM"",""GB"",""VG"",""ST"",""GF"",""TC"",""GH"",""GG"",""RS"",""BI"",""AE"",""PM"",""SA"",""HU"",""HN"",""SO"",""KZ"",""TZ"",""GA"",""NO"",""BE"",""BY"",""BO"",""GU"",""BW"",""FM"",""AT"",""MR"",""LC"",""GT"",""KW"",""BF"",""DE"",""TT"",""CF"",""MA"",""MT"",""AW"",""AD"",""FI"",""ML"",""AS"",""LY"",""DM"",""LU"",""TG"",""SE"",""PS"",""SX"",""YT"",""SR"",""CZ"",""MP"",""GS"",""MF"",""GP"",""CI"",""MQ"",""RW"",""CV"",""ME"",""AQ"",""VI"",""GI"",""SS"",""GD"",""EG"",""CG"",""TR"",""LS"",""GL"",""LI"",""JO"",""RO"",""DJ"",""BQ"",""CD"",""ZM"",""VC"",""CR"",""DO"",""LR"",""PW"",""BS"",""PR"",""CY"",""KE"",""AI"",""KG""]}]"
9/15/24,TV (Non-English),8,Billionaire Island,Billionaire Island: Season 1,4500000,4.5667,1000000,1,FALSE,
9/15/24,TV (Non-English),9,Midnight at the Pera Palace,Midnight at the Pera Palace: Season 2,4400000,5.6833,800000,1,FALSE,
9/15/24,TV (Non-English),10,Midnight at the Pera Palace,Midnight at the Pera Palace: Season 1,4000000,5.9,700000,3,FALSE,
9/8/24,Films (English),1,Rebel Ridge,N/A,68600000,2.2,31200000,1,FALSE,
9/8/24,Films (English),2,The Deliverance,N/A,41100000,1.8833,21800000,2,FALSE,
9/8/24,Films (English),3,The Union,N/A,15100000,1.8167,8300000,4,FALSE,
9/8/24,Films (English),4,Dead Sea,N/A,9900000,1.4667,6700000,1,FALSE,
9/8/24,Films (English),5,Incoming,N/A,9100000,1.5167,6000000,3,FALSE,
9/8/24,Films (English),6,Sonic the Hedgehog,N/A,9700000,1.6833,5800000,10,FALSE,
9/8/24,Films (English),7,Gemini Man,N/A,9000000,1.95,4600000,6,FALSE,
9/8/24,Films (English),8,Aloha,N/A,7600000,1.75,4300000,1,FALSE,
9/8/24,Films (English),9,Migration,N/A,4000000,1.3833,2900000,3,FALSE,
9/8/24,Films (English),10,How to Lose a Guy in 10 Days,N/A,5400000,1.9333,2800000,2,FALSE,
9/8/24,Films (Non-English),1,(Un)lucky Sisters,N/A,5800000,1.3833,4200000,2,FALSE,
9/8/24,Films (Non-English),2,Sheriff: Narko Integriti,N/A,3000000,2.2333,1300000,2,FALSE,
9/8/24,Films (Non-English),3,"Disco, Ibiza, Locomía",N/A,2000000,1.7333,1200000,1,FALSE,
9/8/24,Films (Non-English),4,Menjelang Ajal,N/A,1400000,1.6,900000,1,FALSE,
9/8/24,Films (Non-English),5,Doce Família,N/A,1300000,1.5,900000,1,FALSE,
9/8/24,Films (Non-English),6,Kalki 2898 AD (Hindi),N/A,2500000,2.9333,900000,3,FALSE,
9/8/24,Films (Non-English),7,#LadyRancho,N/A,1300000,1.5333,800000,1,FALSE,
9/8/24,Films (Non-English),8,Under Paris,N/A,1400000,1.7333,800000,14,FALSE,
9/8/24,Films (Non-English),9,Untamed Royals,N/A,1300000,1.6667,800000,2,FALSE,
9/8/24,Films (Non-English),10,Mission: Cross,N/A,1200000,1.75,700000,5,FALSE,
9/8/24,TV (English),1,The Perfect Couple,The Perfect Couple: Limited Series,103500000,5.1,20300000,1,FALSE,
9/8/24,TV (English),2,Worst Ex Ever,Worst Ex Ever: Season 1,27600000,3.8333,7200000,2,FALSE,
9/8/24,TV (English),3,KAOS,N/A,39200000,6.6667,5900000,2,FALSE,
9/8/24,TV (English),4,Emily in Paris,Emily in Paris: Season 4,10800000,2.8333,3800000,4,FALSE,
9/8/24,TV (English),5,Prison Break,Prison Break: Season 1,54900000,16.0167,3400000,1,FALSE,
9/8/24,TV (English),6,Selling Sunset,Selling Sunset: Season 8,19400000,6.4167,3000000,1,FALSE,
9/8/24,TV (English),7,Outlast,Outlast: Season 2,10600000,4.8167,2200000,1,FALSE,
9/8/24,TV (English),8,American Murder: Laci Peterson,American Murder: Laci Peterson: Season 1,5400000,2.6667,2000000,4,FALSE,
9/8/24,TV (English),9,Mermaid Magic,Mermaid Magic: Season 1,6300000,4.3167,1500000,2,FALSE,
9/8/24,TV (English),10,The Umbrella Academy,The Umbrella Academy: Season 4,7900000,5.6667,1400000,5,FALSE,
9/8/24,TV (Non-English),1,Breathless,Breathless: Season 1,41100000,6.3833,6400000,2,FALSE,
9/8/24,TV (Non-English),2,The Accident,The Accident: Season 1,43600000,7.3667,5900000,3,FALSE,
9/8/24,TV (Non-English),3,Love Next Door,Love Next Door: Limited Series,31800000,0,4000000,4,TRUE,"[{""episodesLaunched"":4,""countryList"":[""BR"",""CL"",""SV"",""MX"",""HN"",""CR"",""CO"",""AR"",""GQ"",""EC"",""PR"",""BZ"",""PA"",""UY"",""PY"",""BO"",""GT"",""PE"",""NI"",""DO"",""CU"",""VE""]},{""episodesLaunched"":8,""countryList"":[""FI"",""PW"",""GF"",""CC"",""WS"",""IM"",""US"",""SG"",""RE"",""UG"",""TC"",""BG"",""JM"",""ML"",""GL"",""GW"",""TH"",""LC"",""SN"",""AT"",""CV"",""KN"",""LV"",""MA"",""TL"",""NP"",""ID"",""GH"",""MV"",""GG"",""VN"",""BE"",""IT"",""SB"",""IE"",""LU"",""NZ"",""YT"",""HT"",""BJ"",""RS"",""TZ"",""UA"",""SH"",""CW"",""TN"",""VG"",""VC"",""KR"",""CY"",""YE"",""TJ"",""TW"",""GA"",""MH"",""BL"",""LT"",""MK"",""BT"",""LR"",""SX"",""CF"",""BN"",""JO"",""TT"",""HK"",""TG"",""LK"",""ET"",""SC"",""VU"",""AO"",""IN"",""ZA"",""LI"",""GB"",""IQ"",""AZ"",""MT"",""ME"",""UZ"",""BA"",""AE"",""GU"",""MR"",""VA"",""LA"",""TD"",""WF"",""DK"",""NR"",""JP"",""PT"",""UM"",""KH"",""SO"",""CG"",""AU"",""FJ"",""SL"",""QA"",""NF"",""CI"",""MZ"",""HR"",""NL"",""MU"",""MQ"",""JE"",""NG"",""CZ"",""AF"",""BQ"",""BB"",""IL"",""SE"",""BH"",""PS"",""KW"",""OM"",""AM"",""IR"",""VI"",""MS"",""BY"",""KE"",""GD"",""SS"",""AW"",""SM"",""TM"",""FR"",""CD"",""KI"",""FO"",""DJ"",""RO"",""AG"",""CX"",""NU"",""ZW"",""AS"",""PL"",""SZ"",""SA"",""PG"",""MY"",""DM"",""TO"",""PN"",""EG"",""KM"",""HM"",""KG"",""BS"",""SK"",""NC"",""FK"",""GM"",""NA"",""MM"",""TK"",""MN"",""PF"",""MF"",""CK"",""NO"",""SI"",""BD"",""AI"",""BF"",""GI"",""MG"",""GS"",""TV"",""NE"",""SD"",""RW"",""EE"",""DZ"",""AL"",""MC"",""IS"",""ES"",""LS"",""LB"",""ER"",""GE"",""BW"",""ZM"",""GY"",""GP"",""FM"",""KZ"",""KY"",""SR"",""GN"",""AQ"",""DE"",""HU"",""CA"",""PH"",""MD"",""RU"",""EH"",""MW"",""PK"",""TR"",""IO"",""CH"",""MP"",""LY"",""ST"",""BM"",""PM"",""GR"",""MO"",""BI"",""AD"",""CM""]}]"
9/8/24,TV (Non-English),4,IC 814: The Kandahar Hijack,IC 814: The Kandahar Hijack: Limited Series,16500000,4.4333,3700000,2,FALSE,
9/8/24,TV (Non-English),5,Caught in the Web: The Murders Behind Zona Divas,Caught in the Web: The Murders Behind Zona Divas: Limited Series,4600000,2.8,1600000,1,FALSE,
9/8/24,TV (Non-English),6,The Frog,The Frog: Limited Series,11400000,7.7333,1500000,3,FALSE,
9/8/24,TV (Non-English),7,Terminator Zero,Terminator Zero: Season 1,5100000,3.7833,1300000,2,FALSE,
9/8/24,TV (Non-English),8,Romance in the House,Romance in the House: Limited Series,14100000,0,1300000,5,TRUE,"[{""episodesLaunched"":10,""countryList"":[""MX"",""BS"",""VC"",""PS"",""GS"",""SE"",""EG"",""SV"",""CO"",""CV"",""MG"",""CL"",""MA"",""MH"",""GL"",""TR"",""AM"",""CD"",""SZ"",""AR"",""SI"",""LT"",""RE"",""LB"",""LS"",""KG"",""CF"",""UZ"",""IS"",""EH"",""DZ"",""KW"",""LU"",""MS"",""SK"",""FI"",""GA"",""CU"",""PM"",""BZ"",""PW"",""HM"",""RU"",""GD"",""TJ"",""SA"",""BB"",""JO"",""IM"",""CM"",""KZ"",""KY"",""LY"",""VI"",""MZ"",""AF"",""GF"",""CH"",""GU"",""GR"",""SM"",""BO"",""CZ"",""US"",""IE"",""GG"",""PK"",""AO"",""CA"",""GH"",""SH"",""NI"",""AS"",""TT"",""MD"",""LR"",""AZ"",""QA"",""BG"",""UA"",""CI"",""BA"",""TM"",""PE"",""KE"",""PR"",""IL"",""AT"",""PY"",""ZA"",""NL"",""SX"",""DE"",""IR"",""TD"",""SR"",""MK"",""LC"",""AW"",""HU"",""NO"",""BF"",""SL"",""FR"",""VE"",""AE"",""CR"",""NG"",""BW"",""YT"",""VA"",""GB"",""SS"",""IQ"",""SO"",""CG"",""KM"",""GM"",""MC"",""SD"",""DJ"",""MU"",""ER"",""ZW"",""GN"",""GE"",""BQ"",""TZ"",""BI"",""GY"",""EC"",""ML"",""UG"",""RO"",""SC"",""GW"",""UY"",""PL"",""LV"",""EE"",""ET"",""GT"",""BM"",""DO"",""ME"",""MR"",""SN"",""ES"",""BL"",""CW"",""NE"",""CY"",""TN"",""ST"",""BE"",""YE"",""HR"",""AI"",""RS"",""VG"",""GP"",""FK"",""TG"",""HN"",""BY"",""BR"",""AD"",""KN"",""TC"",""MF"",""MT"",""ZM"",""FM"",""JM"",""IT"",""AL"",""DK"",""MQ"",""AQ"",""BJ"",""IO"",""AG"",""MW"",""FO"",""PT"",""BH"",""PA"",""DM"",""RW"",""GQ"",""LI"",""JE"",""NA"",""HT"",""OM"",""GI"",""MP""]},{""episodesLaunched"":9,""countryList"":[""TL"",""MM"",""NC"",""JP"",""KI"",""NR"",""CK"",""FJ"",""PG"",""SB"",""MY"",""BN"",""AU"",""CX"",""NF"",""PH"",""IN"",""NZ"",""MN"",""VU"",""SG"",""TH"",""VN"",""PF"",""BD"",""LA"",""LK"",""WF"",""MV"",""WS"",""BT"",""TW"",""KR"",""TV"",""MO"",""NP"",""HK"",""TK"",""KH"",""ID"",""NU"",""TO"",""UM"",""CC"",""PN""]}]"
9/8/24,TV (Non-English),9,Chastity High,Chastity High: Season 1,7000000,6.7167,1000000,1,FALSE,
9/8/24,TV (Non-English),10,Represent,Represent: Season 2,2600000,3.1167,800000,1,FALSE,
9/1/24,Films (English),1,Incoming,N/A,25600000,1.5167,16900000,2,FALSE,
9/1/24,Films (English),2,The Union,N/A,30600000,1.8167,16800000,3,FALSE,
9/1/24,Films (English),3,The Deliverance,N/A,27300000,1.8833,14500000,1,FALSE,
9/1/24,Films (English),4,Tòkunbọ̀,N/A,9900000,1.8833,5300000,2,FALSE,
9/1/24,Films (English),5,Migration,N/A,7200000,1.3833,5200000,2,FALSE,
9/1/24,Films (English),6,Untold: The Murder of Air McNair,N/A,3900000,0.9833,4000000,2,FALSE,
9/1/24,Films (English),7,Untold: Sign Stealer,N/A,5200000,1.4667,3500000,1,FALSE,
9/1/24,Films (English),8,The Emoji Movie,N/A,4200000,1.45,2900000,3,FALSE,
9/1/24,Films (English),9,How to Lose a Guy in 10 Days,N/A,5200000,1.9333,2700000,1,FALSE,
9/1/24,Films (English),10,The Super Mario Bros. Movie,N/A,3600000,1.5333,2300000,20,FALSE,
9/1/24,Films (Non-English),1,Kalki 2898 AD (Hindi),N/A,7500000,2.9333,2600000,2,FALSE,
9/1/24,Films (Non-English),2,Untamed Royals,N/A,4000000,1.6667,2400000,1,FALSE,
9/1/24,Films (Non-English),3,(Un)lucky Sisters,N/A,2500000,1.3833,1800000,1,FALSE,
9/1/24,Films (Non-English),4,Nice Girls,N/A,2600000,1.5333,1700000,2,FALSE,
9/1/24,Films (Non-English),5,I Can't Live Without You,N/A,2600000,1.6333,1600000,3,FALSE,
9/1/24,Films (Non-English),6,Sheriff: Narko Integriti,N/A,2300000,2.2333,1000000,1,FALSE,
9/1/24,Films (Non-English),7,Under Paris,N/A,1700000,1.7333,1000000,13,FALSE,
9/1/24,Films (Non-English),8,Mission: Cross,N/A,1700000,1.75,1000000,4,FALSE,
9/1/24,Films (Non-English),9,The Wages of Fear,N/A,1500000,1.7667,800000,7,FALSE,
9/1/24,Films (Non-English),10,Phir Aayi Hasseen Dillruba,N/A,1800000,2.2167,800000,4,FALSE,
9/1/24,TV (English),1,Worst Ex Ever,Worst Ex Ever: Season 1,32300000,3.8333,8400000,1,FALSE,
9/1/24,TV (English),2,Emily in Paris,Emily in Paris: Season 4,18500000,2.8333,6500000,3,FALSE,
9/1/24,TV (English),3,American Murder: Laci Peterson,American Murder: Laci Peterson: Season 1,10900000,2.6667,4100000,3,FALSE,
9/1/24,TV (English),4,KAOS,N/A,22800000,6.6667,3400000,1,FALSE,
9/1/24,TV (English),5,Adam Sandler: Love You,N/A,2900000,1.2333,2400000,1,FALSE,
9/1/24,TV (English),6,Mermaid Magic,Mermaid Magic: Season 1,9900000,4.3167,2300000,1,FALSE,
9/1/24,TV (English),7,Wyatt Earp and The Cowboy War,Wyatt Earp and The Cowboy War: Season 1,8500000,3.8667,2200000,2,FALSE,
9/1/24,TV (English),8,The Umbrella Academy,The Umbrella Academy: Season 4,11900000,5.6667,2100000,4,FALSE,
9/1/24,TV (English),9,Love Is Blind: UK,Love Is Blind: UK: Season 1,23200000,11.75,2000000,4,FALSE,
9/1/24,TV (English),10,Dark Winds,Dark Winds: Season 1,6900000,4.35,1600000,2,FALSE,
9/1/24,TV (Non-English),1,The Accident,The Accident: Season 1,87900000,7.3667,11900000,2,FALSE,
9/1/24,TV (Non-English),2,IC 814: The Kandahar Hijack,IC 814: The Kandahar Hijack: Limited Series,18300000,4.4333,4100000,1,FALSE,
9/1/24,TV (Non-English),3,Breathless,Breathless: Season 1,24400000,6.3833,3800000,1,FALSE,
9/1/24,TV (Non-English),4,The Frog,The Frog: Limited Series,29500000,7.7333,3800000,2,FALSE,
9/1/24,TV (Non-English),5,Love Next Door,Love Next Door: Limited Series,22200000,0,3700000,3,TRUE,"[{""episodesLaunched"":2,""countryList"":[""CO"",""BO"",""GQ"",""PA"",""UY"",""PR"",""DO"",""BR"",""NI"",""AR"",""PE"",""EC"",""PY"",""SV"",""MX"",""CL"",""GT"",""VE"",""CU"",""BZ"",""CR"",""HN""]},{""episodesLaunched"":6,""countryList"":[""WS"",""NO"",""CH"",""ZA"",""GB"",""TO"",""SI"",""MY"",""VI"",""AO"",""AG"",""LI"",""KH"",""BH"",""MM"",""MR"",""DZ"",""NC"",""ES"",""BT"",""LV"",""KW"",""GR"",""ZM"",""FI"",""SZ"",""UA"",""CZ"",""TC"",""SB"",""SH"",""TT"",""JE"",""GH"",""HT"",""AL"",""LB"",""PH"",""KZ"",""MF"",""IN"",""MP"",""GE"",""CW"",""CY"",""IO"",""FR"",""IQ"",""BF"",""UG"",""NF"",""TD"",""YT"",""TG"",""PF"",""EG"",""IL"",""FO"",""ME"",""CM"",""NE"",""HK"",""YE"",""ID"",""LS"",""NA"",""MD"",""MV"",""VA"",""RE"",""MU"",""GA"",""HR"",""UZ"",""CD"",""MQ"",""AM"",""SO"",""JO"",""DK"",""SR"",""QA"",""MC"",""LK"",""PM"",""MN"",""PS"",""AS"",""ST"",""MA"",""AE"",""SK"",""MO"",""LT"",""GS"",""ER"",""BL"",""SX"",""BD"",""GU"",""DM"",""US"",""CI"",""PK"",""CK"",""VC"",""CF"",""CG"",""CV"",""IR"",""GG"",""BW"",""AF"",""LU"",""MT"",""AD"",""FJ"",""MH"",""BQ"",""TH"",""VU"",""BI"",""RS"",""MZ"",""GW"",""MS"",""EH"",""TM"",""GI"",""TR"",""BM"",""BJ"",""CA"",""TV"",""CC"",""SE"",""VN"",""MW"",""RU"",""SD"",""GM"",""PL"",""LA"",""TN"",""HM"",""MG"",""KM"",""SS"",""NU"",""KY"",""MK"",""NZ"",""BA"",""RW"",""AU"",""RO"",""OM"",""CX"",""AW"",""SG"",""HU"",""NR"",""IM"",""NP"",""SN"",""BE"",""KR"",""ML"",""BY"",""BS"",""SL"",""NG"",""WF"",""BB"",""AQ"",""GY"",""LR"",""KN"",""PG"",""DJ"",""PN"",""ET"",""AZ"",""SA"",""LY"",""JP"",""BN"",""EE"",""SM"",""IS"",""VG"",""BG"",""JM"",""PW"",""KI"",""ZW"",""TW"",""UM"",""AI"",""TK"",""NL"",""KE"",""TL"",""FM"",""KG"",""IT"",""TJ"",""AT"",""GD"",""PT"",""SC"",""GP"",""GL"",""GN"",""GF"",""LC"",""TZ"",""FK"",""IE"",""DE""]}]"
9/1/24,TV (Non-English),6,Terminator Zero,Terminator Zero: Season 1,6400000,3.7833,1700000,1,FALSE,
9/1/24,TV (Non-English),7,Baby Fever,Baby Fever: Season 1,5100000,3.0833,1700000,1,FALSE,
