week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,runtime,weekly_views,cumulative_weeks_in_top_10,is_staggered_launch,episode_launch_details
6/16/24,TV (Non-English),3,The Atypical Family,The Atypical Family: Limited Series,20300000,0,1700000,6,TRUE,"[{""episodesLaunched"":12,""countryList"":[""FM"",""TN"",""PN"",""SS"",""BB"",""GL"",""KH"",""NP"",""KR"",""TL"",""BG"",""LI"",""SR"",""AE"",""BA"",""WS"",""NR"",""PL"",""NA"",""CF"",""SE"",""HM"",""GY"",""GW"",""MZ"",""LK"",""BI"",""VI"",""KW"",""BM"",""KZ"",""SM"",""GF"",""TV"",""CA"",""DM"",""GD"",""IQ"",""KN"",""AF"",""MP"",""MU"",""KY"",""EE"",""SN"",""CD"",""SD"",""FI"",""ER"",""TR"",""RS"",""MO"",""GP"",""LT"",""CH"",""HU"",""BF"",""ET"",""VU"",""TO"",""MQ"",""BD"",""AU"",""EH"",""DE"",""TW"",""SZ"",""LU"",""ML"",""CW"",""OM"",""PW"",""PT"",""PK"",""IS"",""QA"",""TT"",""MH"",""MD"",""SA"",""EG"",""WF"",""CC"",""VC"",""RW"",""FK"",""AI"",""BY"",""VN"",""BT"",""NG"",""RE"",""UM"",""UZ"",""IM"",""PS"",""SX"",""NZ"",""SC"",""DK"",""SL"",""HR"",""AS"",""IN"",""BS"",""US"",""PM"",""ME"",""CI"",""SO"",""RU"",""CZ"",""ES"",""TM"",""YE"",""BH"",""SK"",""UG"",""BW"",""CX"",""KM"",""PG"",""MN"",""CG"",""TG"",""AT"",""NU"",""GA"",""TJ"",""HT"",""FR"",""TZ"",""GR"",""IE"",""GN"",""MG"",""MV"",""CY"",""LY"",""MR"",""LB"",""GM"",""KG"",""AG"",""LV"",""UA"",""ZM"",""MS"",""GH"",""LS"",""HK"",""GI"",""GG"",""SB"",""GU"",""NL"",""MC"",""GS"",""VG"",""BL"",""MW"",""BE"",""AO"",""KI"",""ZW"",""VA"",""PH"",""GB"",""LC"",""JP"",""DJ"",""NE"",""TC"",""DZ"",""SI"",""BQ"",""ST"",""TD"",""NO"",""JM"",""TK"",""LA"",""SG"",""AM"",""FJ"",""CK"",""GE"",""MM"",""IR"",""MA"",""BJ"",""IO"",""MY"",""ZA"",""FO"",""NC"",""BN"",""JO"",""YT"",""TH"",""CM"",""IT"",""MT"",""AD"",""LR"",""IL"",""AL"",""AW"",""JE"",""AQ"",""MK"",""AZ"",""MF"",""CV"",""ID"",""PF"",""NF"",""SH"",""RO"",""KE""]},{""episodesLaunched"":8,""countryList"":[""NI"",""PR"",""BO"",""UY"",""CR"",""CL"",""CO"",""BR"",""BZ"",""AR"",""CU"",""PY"",""DO"",""SV"",""VE"",""PE"",""MX"",""PA"",""GT"",""EC"",""GQ"",""HN""]}]"
6/16/24,TV (Non-English),4,Demon Slayer: Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba: Hashira Training Arc,3500000,0,1500000,5,TRUE,"[{""episodesLaunched"":5,""countryList"":[""BT"",""IN"",""PK"",""SG"",""KH"",""NP"",""TH"",""MY"",""VN"",""MN"",""TL"",""PH"",""BD"",""LK"",""BN"",""TW"",""MM"",""ID"",""LA"",""KR"",""JP"",""MV""]},{""episodesLaunched"":3,""countryList"":[""MO"",""HK""]}]"
6/16/24,TV (Non-English),5,Tour de France: Unchained,Tour de France: Unchained: Season 2,6700000,5.8667,1100000,1,FALSE,
6/16/24,TV (Non-English),6,The 8 Show,The 8 Show: Limited Series,6000000,6.9833,900000,5,FALSE,
6/16/24,TV (Non-English),7,Joko Anwar's Nightmares and Daydreams,Joko Anwar's Nightmares and Daydreams: Season 1,4800000,6.0667,800000,1,FALSE,
6/16/24,TV (Non-English),8,Queen of Tears,Queen of Tears: Limited Series,16400000,23.3667,700000,15,FALSE,
6/16/24,TV (Non-English),9,Jujutsu Kaisen,Jujutsu Kaisen: Season 1,6500000,9.5,700000,2,FALSE,
6/16/24,TV (Non-English),10,Kaiju No. 8,Kaiju No. 8: Season 1,2600000,3.95,700000,2,FALSE,
6/9/24,Films (English),1,Hit Man,N/A,20800000,1.9333,10800000,1,FALSE,
6/9/24,Films (English),2,Atlas,N/A,17800000,2,8900000,3,FALSE,
6/9/24,Films (English),3,Ice Age: Collision Course,N/A,7700000,1.6167,4800000,3,FALSE,
6/9/24,Films (English),4,Ice Age: Dawn of the Dinosaurs,N/A,6500000,1.5833,4100000,3,FALSE,
6/9/24,Films (English),5,Home,N/A,5700000,1.5667,3600000,3,FALSE,
6/9/24,Films (English),6,Mother of the Bride,N/A,5300000,1.5,3500000,5,FALSE,
6/9/24,Films (English),7,Sing 2,N/A,6200000,1.8333,3400000,12,FALSE,
6/9/24,Films (English),8,Real Steel,N/A,6900000,2.1167,3300000,1,FALSE,
6/9/24,Films (English),9,The Lego Movie,N/A,5400000,1.6833,3200000,1,FALSE,
6/9/24,Films (English),10,How to Rob a Bank,N/A,4600000,1.4667,3100000,1,FALSE,
6/9/24,Films (Non-English),1,Under Paris,N/A,70900000,1.7333,40900000,1,FALSE,
6/9/24,Films (Non-English),2,Godzilla Minus One,N/A,31300000,2.1,14900000,2,FALSE,
6/9/24,Films (Non-English),3,Colors of Evil: Red,N/A,27300000,1.8667,14600000,2,FALSE,
6/9/24,Films (Non-English),4,Baki Hanma VS Kengan Ashura,N/A,7100000,1.05,6800000,1,FALSE,
6/9/24,Films (Non-English),5,The Price of Nonna's Inheritance,N/A,8300000,1.5,5500000,1,FALSE,
6/9/24,Films (Non-English),6,Bionic,N/A,6800000,1.85,3700000,2,FALSE,
6/9/24,Films (Non-English),7,Bade Miyan Chote Miyan,N/A,8000000,2.7167,2900000,1,FALSE,
6/9/24,Films (Non-English),8,A Part of You,N/A,4600000,1.6833,2700000,1,FALSE,
6/9/24,Films (Non-English),9,Too Old for Fairy Tales 2,N/A,4200000,1.5833,2700000,2,FALSE,
6/9/24,Films (Non-English),10,Crew,N/A,4900000,2.0167,2400000,3,FALSE,
6/9/24,TV (English),1,Eric,Eric: Limited Series,54300000,5.35,10100000,2,FALSE,
6/9/24,TV (English),2,Geek Girl,Geek Girl: Season 1,41000000,5.6333,7300000,2,FALSE,
6/9/24,TV (English),3,Bridgerton,Bridgerton: Season 3,25300000,3.6667,6900000,4,FALSE,
6/9/24,TV (English),4,Dancing for the Devil: The 7M TikTok Cult,Dancing for the Devil: The 7M TikTok Cult: Season 1,18000000,2.6833,6700000,2,FALSE,
6/9/24,TV (English),5,Sweet Tooth,Sweet Tooth: Season 3,34300000,6.3,5400000,1,FALSE,
6/9/24,TV (English),6,Hitler and the Nazis: Evil on Trial,Hitler and the Nazis: Evil on Trial: Season 1,21900000,6.3667,3400000,1,FALSE,
6/9/24,TV (English),7,Bridgerton,Bridgerton: Season 2,22700000,8.5,2700000,19,FALSE,
6/9/24,TV (English),8,Perfect Match,Perfect Match: Season 2,12900000,5.15,2500000,1,FALSE,
6/9/24,TV (English),9,Jo Koy: Live from Brooklyn,N/A,2500000,1,2500000,1,FALSE,
6/9/24,TV (English),10,Bridgerton,Bridgerton: Season 1,19900000,8.2,2400000,13,FALSE,
6/9/24,TV (Non-English),1,Raising Voices,Raising Voices: Season 1,65100000,6.05,10800000,2,FALSE,
6/9/24,TV (Non-English),2,Hierarchy,Hierarchy: Limited Series,26600000,7.6333,3500000,1,FALSE,
